NOM;CODI;DATA_INI;DATA_FI;RESIDENCIA;IEPG_CONFIRMAT;R0_CONFIRMAT_M;IA14;TAXA_CASOS_CONFIRMAT;CASOS_CONFIRMAT;TAXA_PCRTAR;PCR;TAR;PERC_PCRTAR_POSITIVES;INGRESSOS_TOTAL;INGRESSOS_CRITIC;EXITUS;CASOS_PCR;CASOS_TAR;POSITIVITAT_PCR_NUM;POSITIVITAT_TAR_NUM;POSITIVITAT_PCR_DEN;POSITIVITAT_TAR_DEN;VACUNATS_DOSI_1;VACUNATS_DOSI_2
CATALUNYA;GLOBAL;2021-08-31;2021-09-06;Si;;;286.5814;141.1731;100;13566.7396;8629;981;1.8809;39;1;14;73;27;87;27;5448;613;81;128
CATALUNYA;GLOBAL;2021-08-31;2021-09-06;No;101.047;0.804559;125.5926;52.1849;4040;1727.4767;92598;41138;3.7744;450;103;74;1775;2265;1882;2249;73839;35608;60293;169254
CATALUNYA;GLOBAL;2021-08-30;2021-09-05;No;106.103;0.790284;134.2599;54.5358;4222;1768.8501;93018;43921;3.8565;452;106;66;1778;2444;1895;2424;73998;37994;60415;165311
CATALUNYA;GLOBAL;2021-08-30;2021-09-05;--;;;0.0000;0.0000;191;0.0000;9115;33;1.3057;31;5;1;121;70;115;3;9008;29;916;1333
CATALUNYA;GLOBAL;2021-08-30;2021-09-05;Si;;;289.4049;138.3496;98;13336.6273;8369;1078;1.8587;40;1;17;70;28;83;28;5318;654;81;116
CATALUNYA;GLOBAL;2021-08-29;2021-09-04;--;;;0.0000;0.0000;194;0.0000;9105;33;1.3286;32;5;0;123;71;117;3;9004;28;917;1237
CATALUNYA;GLOBAL;2021-08-29;2021-09-04;Si;;;292.2284;138.3496;98;13453.8010;8376;1154;1.8411;38;1;18;71;27;84;27;5317;712;81;118
CATALUNYA;GLOBAL;2021-08-29;2021-09-04;No;107.415;0.781922;137.3729;55.3625;4286;1791.4291;93167;45520;3.8822;454;109;64;1814;2472;1941;2469;74123;39473;60469;168569
CATALUNYA;GLOBAL;2021-08-28;2021-09-03;No;110.004;0.77561;141.8293;56.5250;4376;1802.2407;92239;47285;3.9411;482;101;67;1831;2545;1969;2542;73339;41121;59900;168527
CATALUNYA;GLOBAL;2021-08-28;2021-09-03;--;;;0.0000;0.0000;199;0.0000;9022;35;1.3292;33;5;0;121;78;115;4;8922;31;912;1189
CATALUNYA;GLOBAL;2021-08-28;2021-09-03;Si;;;341.6390;151.0552;107;13733.3239;8497;1231;1.8660;42;1;20;80;27;88;27;5406;757;82;121
CATALUNYA;GLOBAL;2021-08-27;2021-09-02;No;116.739;0.772313;151.1555;60.0772;4651;1823.8380;91506;49690;4.1580;495;96;65;1953;2698;2117;2705;72647;43322;60489;179488
CATALUNYA;GLOBAL;2021-08-27;2021-09-02;--;;;0.0000;0.0000;225;0.0000;8952;36;1.5082;31;4;0;137;88;130;4;8852;33;955;1106
CATALUNYA;GLOBAL;2021-08-27;2021-09-02;Si;;;351.5211;136.9379;97;14235.9003;8877;1207;1.6337;38;1;19;70;27;78;27;5685;742;79;130
CATALUNYA;GLOBAL;2021-08-26;2021-09-01;--;;;0.0000;0.0000;243;0.0000;9217;38;1.5529;37;3;0;148;95;138;4;9108;36;1005;1071
CATALUNYA;GLOBAL;2021-08-26;2021-09-01;Si;;;375.5205;153.8787;109;14259.8997;8762;1339;1.8264;37;1;19;86;23;94;23;5569;837;72;129
CATALUNYA;GLOBAL;2021-08-26;2021-09-01;No;124.411;0.773428;160.8562;64.4949;4993;1819.5496;89171;51693;4.4702;506;103;69;2078;2915;2261;2916;70694;45118;58876;189592
CATALUNYA;GLOBAL;2021-08-25;2021-08-31;No;132.191;0.778238;169.8594;68.6412;5314;1832.9962;88171;53734;4.7669;534;102;82;2175;3139;2394;3173;69838;46946;60659;198075
CATALUNYA;GLOBAL;2021-08-25;2021-08-31;--;;;0.0000;0.0000;264;0.0000;9397;39;1.5669;34;3;0;156;108;141;5;9282;36;1070;981
CATALUNYA;GLOBAL;2021-08-25;2021-08-31;Si;;;367.0501;138.3496;98;14943.1778;9160;1425;1.5873;42;2;17;74;24;81;24;5722;893;82;141
